"FMTNAME","START","LABEL",
"DRDIFDCD","11710103.0","ENFAMIL, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710200.0","SIMILAC, LOW IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710201.0","SIMILAC, LOW IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710202.0","SIMILAC, LOW IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710203.0","SIMILAC, LOW IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710250.0","SIMILAC NATURAL CARE,LO IRON,INFANT FORMULA,NS FORM",
"DRDIFDCD","11710251.0","SIMILAC NATURAL CARE,LO IRON,INFANT FORMULA,READY-TO-FEED",
"DRDIFDCD","11710400.0","SIMILAC W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710401.0","SIMILAC W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710402.0","SIMILAC W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710403.0","SIMILAC W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710450.0","SIMILAC SPECIAL CARE 24, IRON, INFANT FORMULA, NS FORM",
"DRDIFDCD","11710451.0","SIMILAC SPECIAL CARE 24, IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710600.0","ENFAMIL W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710601.0","ENFAMIL W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710602.0","ENFAMIL W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710603.0","ENFAMIL W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11710710.0","LACTOFREE, W/ IRON, INFANT FORMULA, NS FORM",
"DRDIFDCD","11710711.0","LACTOFREE, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710712.0","LACTOFREE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11710713.0","LACTOFREE, W/ IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11710800.0","PEDIASURE, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710801.0","PEDIASURE, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710900.0","CARNATION GOOD START, IRON, INFANT FORMULA, NS FORM",
"DRDIFDCD","11710901.0","CARNATION GOOD START, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11710902.0","CARNATION GOOD START,W/IRON,INFANT FORMULA,LIQUID CONCENTRAT",
"DRDIFDCD","11710903.0","CARNATION GOOD START, W/ IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11710950.0","CARNATION FOLLOW-UP,W/ IRON,INFANT FORMULA,NS FORM",
"DRDIFDCD","11710951.0","CARNATION FOLLOW-UP,W/ IRON,INFANT FORMULA,READY-TO-FEED",
"DRDIFDCD","11710952.0","CARNATION FOLLOW-UP,W/IRON,INFANT FORMULA,LIQUID CONCENTRATE",
"DRDIFDCD","11710953.0","CARNATION FOLLOW-UP, W/ IRON, INFANT FORMULA, FR POWDER",
"DRDIFDCD","11710960.0","PARENTS' CHOICE, WITH IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11710961.0","PARENTS' CHOICE, W/ IRON, INF FORM, LIQ CONC",
"DRDIFDCD","11710962.0","PARENTS' CHOICE, W/ IRON, INF FORM, POWDER",
"DRDIFDCD","11720200.0","NURSOY, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11720201.0","NURSOY, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720202.0","NURSOY, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11720203.0","NURSOY, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11720300.0","PROSOBEE, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11720301.0","PROSOBEE, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720302.0","PROSOBEE, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11720303.0","PROSOBEE, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11720400.0","ISOMIL, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11720401.0","ISOMIL, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720402.0","ISOMIL, W/ IRON, INFANT FORMULA, FROM LIQUID CONCENTRATE",
"DRDIFDCD","11720403.0","ISOMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11720600.0","CARNATION ALSOY, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11720601.0","CARNATION ALSOY, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11720602.0","CARNATION ALSOY, W/ IRON, INFANT FORMULA, FROM LIQUID CONCEN",
"DRDIFDCD","11720603.0","CARNATION ALSOY, W/ IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11720703.0","NEXT STEP SOY TODDLER FORMULA,W/ IRON,INFANT,FROM POWDER",
"DRDIFDCD","11720800.0","PARENT'S CHOICE SOY, W/ IRON, INFNT FRMLA, NS FORM",
"DRDIFDCD","11720802.0","PARENTS' CHOICE SOY , W/ IRON, INF FORM, PREP LIQ CONC",
"DRDIFDCD","11720803.0","PARENT'S CHOICE SOY, W/ IRON, INFNT FRMLA, POWDER",
"DRDIFDCD","11740100.0","LOFENALAC, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11740103.0","LOFENALAC, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11740300.0","NUTRAMIGEN, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11740301.0","NUTRAMIGEN, W/ IRON, INFANT FORMULA, READY-TO-FEED",
"DRDIFDCD","11740302.0","NUTRAMIGEN, W/ IRON, INFANT FORMULA, FR  LIQUID CONCENTRATE",
"DRDIFDCD","11740303.0","NUTRAMIGEN, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11740400.0","PREGESTIMIL, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11740403.0","PREGESTIMIL, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11740503.0","SIMILAC PM 60/40, LOW IRON, INFANT FORMULA, FROM POWDER",
"DRDIFDCD","11740600.0","PORTAGEN, W/ IRON, INFANT FORMULA, NS AS TO FORM",
"DRDIFDCD","11740603.0","PORTAGEN, W/ IRON, INFANT FORMULA, PREPARED FROM POWDER",
"DRDIFDCD","11810000.0","MILK, DRY, NOT RECONSTITUTED, NS AS TO FAT",
"DRDIFDCD","11811000.0","MILK, DRY, WHOLE, NOT RECONSTITUTED",
"DRDIFDCD","11812000.0","MILK, DRY, LOWFAT, NOT RECONSTITUTED",
"DRDIFDCD","11813000.0","MILK, DRY, NONFAT, NOT RECONSTITUTED",
"DRDIFDCD","11820000.0","BUTTERMILK, DRY, NOT RECONSTITUTED",
"DRDIFDCD","11825000.0","WHEY, SWEET, DRY",
"DRDIFDCD","11830100.0","COCOA W/DRY MILK & SUGAR, DRY MIX, NOT RECONST",
