"FMTNAME","START","LABEL",
"DRDIFDCD","13110110.0","ICE CREAM, REGULAR, CHOCOLATE",
"DRDIFDCD","13110120.0","ICE CREAM, RICH, FLAVORS OTHER THAN CHOCOLATE",
"DRDIFDCD","13110130.0","ICE CREAM, RICH, CHOCOLATE",
"DRDIFDCD","13110140.0","ICE CREAM, RICH, NS AS TO FLAVOR",
"DRDIFDCD","13110200.0","ICE CREAM, SOFT SERVE, NOT CHOCOLATE",
"DRDIFDCD","13110210.0","ICE CREAM, SOFT SERVE, CHOCOLATE",
"DRDIFDCD","13110220.0","ICE CREAM, SOFT SERVE, NS AS TO FLAVOR",
"DRDIFDCD","13120050.0","ICE CREAM BAR OR STICK, NOT CHOC- OR CAKE-COVERED",
"DRDIFDCD","13120100.0","ICE CREAM BAR/STICK, CHOCOLATE COVERED",
"DRDIFDCD","13120110.0","ICE CREAM BAR, CHOCOLATE/CARAMEL COVERED, W/ NUTS",
"DRDIFDCD","13120120.0","ICE CREAM BAR,RICH CHOC ICE CREAM,THICK CHOC COVER",
"DRDIFDCD","13120121.0","ICE CREAM BAR,RICH ICE CREAM,THICK CHOC COVER",
"DRDIFDCD","13120130.0","ICE CREAM BAR/STICK,RICH ICE CREAM,CHOC COVER,W/NUT",
"DRDIFDCD","13120140.0","ICE CREAM BAR/STICK, CHOC ICE CREAM, CHOC COVER",
"DRDIFDCD","13120300.0","ICE CREAM BAR, CAKE-COVERED",
"DRDIFDCD","13120500.0","ICE CREAM SANDWICH",
"DRDIFDCD","13120550.0","ICE CREAM COOKIE SANDWICH (INCLUDE CHIPWICH)",
"DRDIFDCD","13120700.0","ICE CREAM CONE, W/ NUTS, NOT CHOCOLATE",
"DRDIFDCD","13120710.0","ICE CREAM CONE, CHOC-COVERED, W/ NUTS, NOT CHOC",
"DRDIFDCD","13120720.0","ICE CREAM CONE, CHOC-COVERED OR DIPPED, NOT CHOC",
"DRDIFDCD","13120730.0","ICE CREAM CONE, NO TOPPING, NOT CHOCOLATE",
"DRDIFDCD","13120750.0","ICE CREAM CONE, W/NUTS, CHOCOLATE ICE CREAM",
"DRDIFDCD","13120770.0","ICE CREAM CONE, NO TOPPING, CHOCOLATE ICE CREAM",
"DRDIFDCD","13120790.0","ICE CREAM SUNDAE CONE (INCL DRUMSTICK, ALL FLAVORS)",
"DRDIFDCD","13120800.0","ICE CREAM SODA, NOT CHOCOLATE",
"DRDIFDCD","13121300.0","ICE CREAM SUNDAE,CHOCOLATE TOPPING,W/ WHIPPED CREAM",
"DRDIFDCD","13122100.0","ICE CREAM PIE, NO CRUST",
"DRDIFDCD","13125100.0","ICE CREAM W/ SHERBET",
"DRDIFDCD","13130300.0","LIGHT ICE CREAM,NOT CHOCOLATE (FORMERLY ICE MILK)",
"DRDIFDCD","13130310.0","LIGHT ICE CREAM,CHOCOLATE (FORMERLY ICE MILK)",
"DRDIFDCD","13130350.0","LIGHT ICE CREAM,PREMIUM, NOT CHOC (FORMERLY ICE MILK)",
"DRDIFDCD","13130600.0","LIGHT ICE CREAM,SOFT SERVE, NOT CHOC (FORMERLY ICE MILK)",
"DRDIFDCD","13130610.0","LIGHT ICE CREAM,SOFT SERVE CHOC (TASTEE FRZ, DAIRY QUEEN)",
"DRDIFDCD","13130620.0","LIGHT ICE CREAM,SOFT SERVE CONE,NOT CHOC (DAIRY QUEEN)",
"DRDIFDCD","13130630.0","LIGHT ICE CREAM,SOFT SERVE CONE, CHOC (FORMERLY ICE MILK)",
"DRDIFDCD","13130640.0","LIGHT ICE CREAM,SOFT SERVE CONE, NS FLAV(FORMERLY ICE MILK)",
"DRDIFDCD","13135000.0","LIGHT ICE CREAM,SANDWICH (DAIRY QUEEN) (FORMERLY ICE MILK)",
"DRDIFDCD","13140100.0","LIGHT ICE CREAM,BAR/STICK, CHOC-COATED (FORMERLY ICE MILK)",
"DRDIFDCD","13140550.0","LIGHT ICE CREAM,CONE, CHOCOLATE (FORMERLY ICE MILK)",
"DRDIFDCD","13140660.0","LIGHT ICE CREAM,SUNDAE,CHOC / FUDGE TOP (W/O WHIP CREAM)",
"DRDIFDCD","13140670.0","LIGHT ICE CREAM,SUNDAE,FRUIT TOP (W/O WHIP CREAM)(ICE MILK)",
"DRDIFDCD","13140680.0","LIGHT ICE CREAM,SUNDAE,NO FRUIT/CHOC TOP (W/O WHIP CREAM)",
"DRDIFDCD","13140700.0","LIGHT ICE CREAM,CREAMSICLE OR DREAMSICLE (FORMERLY ICE MILK)",
"DRDIFDCD","13140900.0","LIGHT ICE CREAM,FUDGESICLE (FORMERLY ICE MILK)",
"DRDIFDCD","13141100.0","LIGHT ICE CREAM,W/ SHERBET OR ICE CREAM (FORMERLY ICE MILK)",
"DRDIFDCD","13142000.0","MILK DESSERT BAR/STICK, FROZEN, W/ COCONUT",
"DRDIFDCD","13150000.0","SHERBET, ALL FLAVORS",
"DRDIFDCD","13160000.0","MILK DESSERT, FROZEN, MADE FROM LOWFAT MILK",
"DRDIFDCD","13160100.0","MILK DESSERT,FZN,LOWFAT,W/LOW CAL SWEET,NOT CHOC",
"DRDIFDCD","13160150.0","MILK DESSERT, FROZ, NONFAT, W/ LOW CAL SWEETENER CHOCOLATE",
"DRDIFDCD","13160160.0","MILK DESSERT, FROZ, NONFAT, W/ LOW CAL SWEETENER, NOT CHOC",
"DRDIFDCD","13160200.0","MILK DESSERT,FROZEN,LOWFAT,NOT CHOCOLATE",
"DRDIFDCD","13160210.0","MILK DESSERT, FROZEN, LOWFAT, CHOCOLATE",
"DRDIFDCD","13160400.0","MILK DESSERT, FROZ, MILK-FAT FREE, NOT CHOC",
"DRDIFDCD","13160550.0","MILK DSRT,FROZ,MILK-FAT FREE,W/SIMPLESSE, NOT CHOC",
"DRDIFDCD","13160600.0","MILK DESSERT, FROZ, W/ LOW CAL SWEETENER, NOT CHOC",
"DRDIFDCD","13160650.0","MILK DESSERT, FROZ, W/ LOW CAL SWEETENER, CHOCOLATE",
"DRDIFDCD","13161500.0","MILK DESSERT SANDWICH BAR, FROZEN, DIETARY",
"DRDIFDCD","13161600.0","MILK DES BAR, FROZEN, LOFAT MILK&LO CAL SWEETENER",
"DRDIFDCD","13161630.0","LIGHT ICE CREAM,BAR/STICK, W/ LOW-CAL SWEETENER, CHOC COAT",
"DRDIFDCD","13200110.0","PUDDING, NFS",
"DRDIFDCD","13210110.0","PUDDING, BREAD (INCLUDE W/ RAISINS)",
"DRDIFDCD","13210180.0","PUDDING, MEXICAN BREAD (CAPIROTADA)",
"DRDIFDCD","13210220.0","PUDDING, CHOCOLATE, RTE, NS FROM DRY MIX OR CANNED",
"DRDIFDCD","13210250.0","PUDDING, CHOC, RTE, LO CAL, W/ ART SWTNER, NS DRY/CAN",
"DRDIFDCD","13210280.0","PUDDING, NOT CHOC, RTE, NS FROM DRY MIX OR CANNED",
"DRDIFDCD","13210290.0","PUDDING, NOT CHOC, RTE, LO CAL, W/ ART SWTNER",
"DRDIFDCD","13210300.0","CUSTARD",
"DRDIFDCD","13210350.0","CUSTARD, PUERTO RICAN STYLE (FLAN)",
"DRDIFDCD","13210410.0","PUDDING, RICE",
"DRDIFDCD","13210500.0","PUDDING, TAPIOCA,MADE FROM HOME RECIPE, MADE W/ MILK",
"DRDIFDCD","13210520.0","PUDDING, TAPIOCA,MADE FROM DRY MIX,MADE W/ MILK",
"DRDIFDCD","13210750.0","PUDDING, PUMPKIN",
"DRDIFDCD","13220110.0","PUDDING,NOT CHOCOLATE,PREPARED FROM DRY MIX,MILK ADDED",
"DRDIFDCD","13220120.0","PUDDING,CHOCOLATE,PREPARED FROM DRY MIX,MILK ADDED",
"DRDIFDCD","13220210.0","PUDDING,NOT CHOC,FROM DRY,LOW CAL,ARTIFICIAL SWEET,W/MILK",
"DRDIFDCD","13220220.0","PUDDING,CHOC,FROM DRY,LOW CAL,ARTIFICIAL SWEET,MILK ADDED",
"DRDIFDCD","13220230.0","PUDDING, CAN, CHOC, REDUCED FAT (INCL JELL-O LIGHT)",
"DRDIFDCD","13220235.0","PUDDING, CAN, CHOC, FAT FREE",
"DRDIFDCD","13220245.0","PUDDING, CANNED, NOT CHOC, FAT FREE",
"DRDIFDCD","13230110.0","PUDDING, CANNED, NOT CHOCOLATE",
"DRDIFDCD","13230120.0","PUDDING,CANNED,LOW CAL,W/ARTIFICIAL SWTNR,NOT CHOC",
"DRDIFDCD","13230130.0","PUDDING, CANNED, CHOCOLATE",
"DRDIFDCD","13230140.0","PUDDING, CANNED, LO CAL, W/ ART SWTNER, CHOC",
