age,food_group,average_taken,recommended_low,recommended_high
107,protein,750,787.5,975
107,vegetable,240,337.5,487.5
107,Fats Oils Salad dressings,18,24,33
108,dairy,217.5,435,465
108,fruits,202.5,262.5,337.5
108,grains,817.5,825,1275
108,protein,750,787.5,975
108,vegetable,240,337.5,487.5
108,Fats Oils Salad dressings,18,24,33
109,dairy,217.5,435,465
109,fruits,202.5,262.5,337.5
109,grains,817.5,825,1275
109,protein,750,787.5,975
109,vegetable,240,337.5,487.5
109,Fats Oils Salad dressings,18,24,33
110,dairy,217.5,435,465
110,fruits,202.5,262.5,337.5
110,grains,817.5,825,1275
110,protein,750,787.5,975
110,vegetable,240,337.5,487.5
110,Fats Oils Salad dressings,18,24,33
111,dairy,217.5,435,465
111,fruits,202.5,262.5,337.5
111,grains,817.5,825,1275
111,protein,750,787.5,975
111,vegetable,240,337.5,487.5
111,Fats Oils Salad dressings,18,24,33
112,dairy,217.5,435,465
112,fruits,202.5,262.5,337.5
112,grains,817.5,825,1275
112,protein,750,787.5,975
112,vegetable,240,337.5,487.5
112,Fats Oils Salad dressings,18,24,33
113,dairy,217.5,435,465
113,fruits,202.5,262.5,337.5
113,grains,817.5,825,1275
113,protein,750,787.5,975
113,vegetable,240,337.5,487.5
113,Fats Oils Salad dressings,18,24,33
114,dairy,217.5,435,465
114,fruits,202.5,262.5,337.5
114,grains,817.5,825,1275
114,protein,750,787.5,975
114,vegetable,240,337.5,487.5
114,Fats Oils Salad dressings,18,24,33
115,dairy,217.5,435,465
115,fruits,202.5,262.5,337.5
115,grains,817.5,825,1275
115,protein,750,787.5,975
115,vegetable,240,337.5,487.5
115,Fats Oils Salad dressings,18,24,33
116,dairy,217.5,435,465
116,fruits,202.5,262.5,337.5
116,grains,817.5,825,1275
116,protein,750,787.5,975
116,vegetable,240,337.5,487.5
116,Fats Oils Salad dressings,18,24,33
117,dairy,217.5,435,465
117,fruits,202.5,262.5,337.5
117,grains,817.5,825,1275
117,protein,750,787.5,975
117,vegetable,240,337.5,487.5
117,Fats Oils Salad dressings,18,24,33
118,dairy,217.5,435,465
118,fruits,202.5,262.5,337.5
118,grains,817.5,825,1275
118,protein,750,787.5,975
